                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.72765,                0.52228,                0.99474,                0.95034,                0.87743,                0.95678,                0.74397,                0.79645,                 0.4867,                 0.9842,              0.0013664,              0.0013664,              0.0013664
                     99,                0.73446,                0.53893,                 1.0053,                0.95145,                0.86463,                0.95548,                0.74851,                0.79245,                0.48076,                0.99236,              0.0013598,              0.0013598,              0.0013598
                    100,                0.72572,                 0.5294,                0.98474,                0.93922,                 0.9109,                0.96419,                0.76135,                0.76426,                0.47188,                0.96871,              0.0013532,              0.0013532,              0.0013532
                    101,                0.73056,                0.51831,                0.98765,                0.94269,                0.89786,                0.96363,                0.75757,                 0.7636,                0.46312,                 0.9789,              0.0013466,              0.0013466,              0.0013466
                    102,                0.70707,                0.48711,                0.97293,                0.95662,                0.91472,                0.96409,                0.76759,                0.75025,                0.44944,                0.96989,                0.00134,                0.00134,                0.00134
                    103,                0.74159,                0.51176,                0.99654,                0.97447,                0.88428,                0.96959,                0.76273,                0.75084,                 0.4657,                0.97576,              0.0013334,              0.0013334,              0.0013334
                    104,                0.72292,                  0.519,                0.99145,                 0.9507,                0.90175,                0.96005,                0.76391,                0.75724,                0.46525,                0.97973,              0.0013268,              0.0013268,              0.0013268
                    105,                0.75002,                0.52779,                0.99991,                0.92395,                0.90188,                0.96096,                0.75302,                0.77341,                0.47687,                0.97289,              0.0013202,              0.0013202,              0.0013202
                    106,                0.71693,                0.50769,                0.98626,                0.94426,                0.90175,                0.96225,                0.76253,                0.76159,                0.46448,                0.97328,              0.0013136,              0.0013136,              0.0013136
                    107,                0.72411,                0.52584,                0.99568,                0.93619,                0.89692,                0.96074,                0.75499,                0.77937,                0.48663,                0.97465,               0.001307,               0.001307,               0.001307
                    108,                0.70399,                 0.5156,                0.98603,                0.93008,                0.92933,                0.96725,                0.76824,                0.76314,                0.46017,                0.96882,              0.0013004,              0.0013004,              0.0013004
                    109,                0.70801,                0.51285,                0.98232,                 0.9328,                0.90929,                0.96881,                0.76513,                0.76362,                0.45521,                0.96394,              0.0012938,              0.0012938,              0.0012938
                    110,                0.69685,                0.52368,                0.98534,                 0.9693,                0.89613,                0.96334,                 0.7681,                0.75009,                0.45948,                0.96124,              0.0012872,              0.0012872,              0.0012872
                    111,                0.72092,                0.52527,                0.99354,                0.92453,                0.93611,                0.97155,                0.77046,                0.76189,                 0.4556,                0.97457,              0.0012806,              0.0012806,              0.0012806
                    112,                0.69064,                0.51017,                 0.9926,                0.91669,                0.94105,                0.96939,                0.76737,                0.75155,                0.45442,                 0.9744,               0.001274,               0.001274,               0.001274
                    113,                0.68684,                0.48648,                0.96852,                0.94364,                0.91401,                0.97112,                0.77171,                0.74593,                0.43548,                0.95141,              0.0012674,              0.0012674,              0.0012674
                    114,                0.68925,                0.49162,                0.97887,                0.91643,                0.91921,                0.96348,                 0.7577,                0.76208,                 0.4636,                 0.9731,              0.0012608,              0.0012608,              0.0012608
                    115,                0.71243,                0.50307,                0.97228,                0.94234,                 0.9214,                0.96842,                0.76706,                 0.7704,                0.44054,                0.97529,              0.0012542,              0.0012542,              0.0012542
                    116,                0.69097,                0.48045,                0.97485,                0.93942,                0.91485,                0.96712,                0.76887,                0.74361,                0.44004,                 0.9733,              0.0012476,              0.0012476,              0.0012476
                    117,                0.70408,                0.50914,                0.98559,                0.94922,                0.91048,                0.97003,                0.77686,                0.73676,                0.43566,                0.96539,               0.001241,               0.001241,               0.001241
                    118,                0.69732,                0.50392,                0.97917,                0.92517,                0.91782,                0.96067,                0.76631,                0.74092,                0.47266,                 0.9711,              0.0012344,              0.0012344,              0.0012344
                    119,                0.69453,                0.48548,                 0.9733,                0.92981,                0.89663,                0.95156,                0.74648,                0.77779,                0.47589,                0.97671,              0.0012278,              0.0012278,              0.0012278
                    120,                0.69402,                0.49567,                0.98562,                0.92882,                0.91176,                0.93276,                0.74718,                0.74672,                0.48315,                0.96729,              0.0012212,              0.0012212,              0.0012212
                    121,                 0.6792,                0.48935,                0.97719,                0.92136,                0.93231,                0.97337,                0.76525,                 0.7663,                0.45056,                0.96408,              0.0012146,              0.0012146,              0.0012146
                    122,                 0.6907,                0.48473,                0.97453,                0.94416,                0.91921,                0.96281,                0.76438,                0.73309,                 0.4463,                0.94993,               0.001208,               0.001208,               0.001208
                    123,                0.69118,                0.48582,                0.98391,                0.92993,                 0.9214,                0.95727,                 0.7745,                0.71867,                 0.4268,                0.95176,              0.0012014,              0.0012014,              0.0012014
                    124,                0.69251,                0.49627,                0.97121,                0.94112,                 0.9214,                0.95561,                0.75928,                0.73203,                0.45069,                0.94786,              0.0011948,              0.0011948,              0.0011948
                    125,                0.68708,                0.48466,                0.97952,                0.94879,                0.91921,                0.96827,                0.77573,                0.71705,                0.44009,                0.93338,              0.0011882,              0.0011882,              0.0011882
                    126,                0.67297,                0.47165,                  0.963,                 0.9679,                 0.9217,                0.96992,                0.77376,                0.72969,                0.42917,                0.94974,              0.0011816,              0.0011816,              0.0011816
                    127,                0.66479,                0.47205,                0.96943,                0.92822,                0.93177,                0.96762,                0.76945,                0.72601,                0.44919,                0.94293,               0.001175,               0.001175,               0.001175
                    128,                0.67676,                 0.4896,                 0.9736,                 0.9332,                 0.9151,                0.96764,                0.76721,                 0.7621,                0.45466,                0.97402,              0.0011684,              0.0011684,              0.0011684
                    129,                0.67987,                0.46826,                 0.9595,                0.93001,                 0.9476,                0.97421,                0.78248,                 0.7191,                0.43149,                0.95121,              0.0011618,              0.0011618,              0.0011618
                    130,                0.66569,                0.48218,                0.97518,                0.91546,                 0.9457,                0.96953,                0.77053,                0.72418,                0.44036,                0.94943,              0.0011552,              0.0011552,              0.0011552
